year,county_code,deaths,population,crude_rate,state,county,candidate,party
2000,1003,16,140415,11.394794003489656,Alabama,Baldwin,George W. Bush,republican
2000,1015,23,112249,20.49,Alabama,Calhoun,George W. Bush,republican
2000,1021,10,39593,25.25698987194706,Alabama,Chilton,George W. Bush,republican
2000,1033,12,54984,21.82453077258839,Alabama,Colbert,Al Gore,democrat
2000,1045,10,49129,20.35457672657697,Alabama,Dale,George W. Bush,republican
2000,1055,13,103459,12.565364057259398,Alabama,Etowah,George W. Bush,republican
2000,1069,10,88787,11.262910110714406,Alabama,Houston,George W. Bush,republican
2000,1073,154,662047,23.26,Alabama,Jefferson,George W. Bush,republican
2000,1077,11,87966,12.504831412136507,Alabama,Lauderdale,George W. Bush,republican
2000,1081,16,115092,13.901921940708304,Alabama,Lee,George W. Bush,republican
2000,1089,36,276700,13.01,Alabama,Madison,George W. Bush,republican
2000,1095,11,82231,13.37695029854921,Alabama,Marshall,George W. Bush,republican
2000,1097,59,399843,14.76,Alabama,Mobile,George W. Bush,republican
2000,1101,47,223510,21.03,Alabama,Montgomery,Al Gore,democrat
2000,1103,15,111064,13.505726428005474,Alabama,Morgan,George W. Bush,republican
2000,1115,12,64742,18.53510858484446,Alabama,St. Clair,George W. Bush,republican
2000,1117,20,143293,13.96,Alabama,Shelby,George W. Bush,republican
2000,1121,13,80321,16.18505745695397,Alabama,Talladega,George W. Bush,republican
2000,1125,27,164875,16.38,Alabama,Tuscaloosa,George W. Bush,republican
2000,1127,17,70713,24.040841146606706,Alabama,Walker,George W. Bush,republican
2000,2020,29,260283,11.14,Alaska,District 20,George W. Bush,republican
2000,4003,21,117755,17.83,Arizona,Cochise,George W. Bush,republican
2000,4005,15,116320,12.895460797799174,Arizona,Coconino,Al Gore,democrat
2000,4007,10,51335,19.479887016655304,Arizona,Gila,George W. Bush,republican
2000,4013,433,3072149,14.09,Arizona,Maricopa,George W. Bush,republican
2000,4015,54,155032,34.83,Arizona,Mohave,George W. Bush,republican
2000,4017,16,97470,16.415307274033037,Arizona,Navajo,George W. Bush,republican
