year,county_code,deaths,population,crude_rate
1999,1003,22,137555,15.99
1999,1015,29,114910,25.24
1999,1017,10,36527,27.37700878801982
1999,1033,14,54715,25.58713332724116
1999,1047,11,46722,23.54351269209366
1999,1049,15,63593,23.587501769062634
1999,1055,23,104002,22.11
1999,1071,10,53433,18.715026294611942
1999,1073,149,662845,22.48
1999,1077,13,87590,14.841876926589793
1999,1081,17,112898,15.057839820014525
1999,1083,12,64880,18.495684340320594
1999,1089,27,274692,9.83
1999,1095,23,81992,28.05
1999,1097,83,399323,20.79
1999,1101,52,223548,23.26
1999,1103,14,110670,12.65022137887413
1999,1117,20,140502,14.23
1999,1123,11,41649,26.411198348099596
1999,1125,29,164411,17.64
1999,1127,21,70784,29.67
1999,2020,27,259348,10.41
1999,2090,13,83390,15.589399208538193
1999,4003,19,116530,16.304814210932808
1999,4005,18,115307,15.610500663446278
1999,4007,11,50990,21.57285742302412
1999,4013,476,3004985,15.84
1999,4015,37,150351,24.61
1999,4019,144,828905,17.37
1999,4021,23,173364,13.27
1999,4025,43,162943,26.39
1999,4027,18,155665,11.56329296887547
1999,5007,20,148636,13.46
1999,5035,14,50530,27.706313081337818
1999,5051,18,87177,20.647647888778003
1999,5069,17,84178,20.195300434792937
1999,5119,66,360312,18.32
1999,5131,10,113302,8.825969532753172
1999,5143,15,154627,9.700763773467765
1999,6001,122,1427114,8.55
1999,6007,18,201282,8.942677437624825
1999,6013,99,936983,10.57
1999,6017,16,154381,10.36396965947882
1999,6019,70,789405,8.87
1999,6023,17,126676,13.420063784773753
1999,6029,68,655428,10.37
1999,6037,1091,9437290,11.56
1999,6039,12,121883,9.84550757693854
1999,6045,14,85665,16.34273040331524
1999,6047,24,206734,11.61
1999,6053,36,396267,9.08
1999,6057,12,90899,13.201465362655256
1999,6059,176,2815933,6.25
1999,6061,14,240928,5.810864656660911
1999,6065,151,1507912,10.01
1999,6067,120,1206659,9.94
1999,6071,200,1681601,11.89
1999,6073,202,2789593,7.24
1999,6075,50,774716,6.45
1999,6077,57,552424,10.32
1999,6079,13,243480,5.339247576803023
1999,6081,42,704538,5.96
1999,6083,20,396906,5.04
1999,6085,82,1671498,4.91
1999,6087,12,253667,4.730611392100667
1999,6089,34,161987,20.99
1999,6095,29,387657,7.48
1999,6097,28,453421,6.18
1999,6099,38,438609,8.66
1999,6107,36,364708,9.87
1999,6111,46,743357,6.19
1999,6113,15,165269,9.076112277559615
1999,8001,39,354146,11.01
1999,8005,43,482262,8.92
1999,8013,17,285901,5.946114214360915
1999,8031,66,548848,12.03
1999,8035,10,162866,6.140016946446772
1999,8041,51,509044,10.02
1999,8043,12,45655,26.2840871755558
