year,state,county,county_code,candidate,party
2016,Wyoming,Weston,56045,Donald Trump,republican
2016,Wyoming,Washakie,56043,Donald Trump,republican
2016,Wyoming,Uinta,56041,Donald Trump,republican
2016,Wyoming,Teton,56039,Hillary Clinton,democrat
2016,Wyoming,Sweetwater,56037,Donald Trump,republican
2016,Wyoming,Sublette,56035,Donald Trump,republican
2016,Wyoming,Sheridan,56033,Donald Trump,republican
2016,Wyoming,Platte,56031,Donald Trump,republican
2016,Wyoming,Park,56029,Donald Trump,republican
2016,Wyoming,Niobrara,56027,Donald Trump,republican
2016,Wyoming,Natrona,56025,Donald Trump,republican
2016,Wyoming,Lincoln,56023,Donald Trump,republican
2016,Wyoming,Laramie,56021,Donald Trump,republican
2016,Wyoming,Johnson,56019,Donald Trump,republican
2016,Wyoming,Hot Springs,56017,Donald Trump,republican
2016,Wyoming,Goshen,56015,Donald Trump,republican
2016,Wyoming,Fremont,56013,Donald Trump,republican
2016,Wyoming,Crook,56011,Donald Trump,republican
2016,Wyoming,Converse,56009,Donald Trump,republican
2016,Wyoming,Carbon,56007,Donald Trump,republican
2016,Wyoming,Campbell,56005,Donald Trump,republican
2016,Wyoming,Big Horn,56003,Donald Trump,republican
2016,Wyoming,Albany,56001,Donald Trump,republican
2016,Wisconsin,Wood,55141,Donald Trump,republican
2016,Wisconsin,Winnebago,55139,Donald Trump,republican
2016,Wisconsin,Waushara,55137,Donald Trump,republican
2016,Wisconsin,Waupaca,55135,Donald Trump,republican
2016,Wisconsin,Waukesha,55133,Donald Trump,republican
2016,Wisconsin,Washington,55131,Donald Trump,republican
2016,Wisconsin,Washburn,55129,Donald Trump,republican
2016,Wisconsin,Walworth,55127,Donald Trump,republican
2016,Wisconsin,Vilas,55125,Donald Trump,republican
2016,Wisconsin,Vernon,55123,Donald Trump,republican
2016,Wisconsin,Trempealeau,55121,Donald Trump,republican
2016,Wisconsin,Taylor,55119,Donald Trump,republican
2016,Wisconsin,Sheboygan,55117,Donald Trump,republican
2016,Wisconsin,Shawano,55115,Donald Trump,republican
2016,Wisconsin,Sawyer,55113,Donald Trump,republican
2016,Wisconsin,Sauk,55111,Donald Trump,republican
2016,Wisconsin,St. Croix,55109,Donald Trump,republican
2016,Wisconsin,Rusk,55107,Donald Trump,republican
2016,Wisconsin,Rock,55105,Hillary Clinton,democrat
2016,Wisconsin,Richland,55103,Donald Trump,republican
2016,Wisconsin,Racine,55101,Donald Trump,republican
2016,Wisconsin,Price,55099,Donald Trump,republican
2016,Wisconsin,Portage,55097,Hillary Clinton,democrat
2016,Wisconsin,Polk,55095,Donald Trump,republican
2016,Wisconsin,Pierce,55093,Donald Trump,republican
2016,Wisconsin,Pepin,55091,Donald Trump,republican
2016,Wisconsin,Ozaukee,55089,Donald Trump,republican
2016,Wisconsin,Outagamie,55087,Donald Trump,republican
